Route,Scheduled_Time_OP,Notes
1,45,
4,60,
7,80,
7A,80,
7B,80,
7D,80,
9,59,
11,80,
13,87,
14,68,
14C,68,
15,101,
15A,66,
15B,66,
16,100,
17,80,
17A,63,
18,70,
25,46,
25A,46,
25B,51,
25X,70,
26,34,
27,96,
27A,38,
29A,50,
31,60,
31B,60,
32,60,
32X,80,
33,110,
33A,55,
33B,20,
33D,65,
33X,80,
37,56,
38,60,
38A,50,
39,71,
39A,71,
40,82,
40B,40,
40D,45,
41,68,
41B,72,
41C,68,
41X,50,
42,80,
43,60,
44,75,
44B,30,
45A,50,
46A,61,
46E,44,
47,59,
49,65,
51D,50,
51X,60,
53,23,
54A,70,
56A,74,
59,40,
61,53,
63,28,
65,100,
65B,64,
66,49,
66A,52,
66B,53,
66X,60,
67,63,
67X,60,
68,60,
69,62,
69X,50,
70,51,
75,85,
76,42,
76A,62,
77A,86,
77X,90,
79,55,
79A,55,
83,73,
84,70,
84A,70,
84X,85,
102,70,
104,28,
111,20,
114,50,
116,80,
118,65,
120,40,
122,55,
123,62,
130,33,
140,63,
142,85,
145,68,
150,40,
151,70,
161,35,
184,40,
185,30,
220,59,
236,24,
238,21,
239,46,
270,22,
747,60,
27B,80,Gone 2017. used to exist in 2012 Eden Quay to Harristown taking 60 mins and 27 X from Belfield to Clare Hall 80 mins
32A,65,Gone 2017used to be in 2012 From Lwr. Abbey St. Towards Malahide  taking 65 mins
38B,50,Gone 2017 From Baggot St. (Grand Canal) Towards Damastown which took 50 mins