Route,First_1,First_2,First_3,Last_1 ,Last_2,Last_3,Direction ,Notes for route as at 2012,*Stops as at 2017,,
1,381,382,4451,226,225,224,From Sandymount (St. John's Church) Towards Santry (Shanard Rd.),,,,
1,226,228,229,380,378,377,From Santry (Shanard Rd.) To Sandymount (St. John's Church),,,,
4,7330,2051,6086,332,323,322,From Monkstown Avenue To Harristown,,,,
4,324,327,7113,7660,7226,2026,From Harristown To Monkstown Avenue,,,,
7,7639,7640,5047,4,281,400,From Brides Glen Luas To Mountjoy Sq.,"Brides Glen Luas not open, used to stop at Loughlinstown/Cherrywood",,,
7,1174,4962,4725,7639,5046,3220,From Mountjoy Sq. To Brides Glen Luas,,,,
7A,3222,3223,3224,4,281,400,From Loughlinstown To Mountjoy Sq.,Did not exist,,,
7A,1174,4962,4725,3220,3221,4982,From Mountjoy Sq. To Loughlinstown,,,,
7B,3544,3552,3553,4,281,320,From Shankill Towards Mountjoy Sq.,,,,
7B,4962,6059,334,3541,3542,3544,From Mountjoy Sq. To Shankill,,,,
7D,3057,3059,3060,7555,4,281,From Dalkey To Mountjoy Sq.,,,,
7D,4962,4725,6059,3057,3056,3055,From Mountjoy Sq. To Dalkey,,,,
9,4392,2458,2446,7131,6229,6219,From Limekiln Ave. To Charlestown,,,,
9,7132,6230,6228,4392,2457,2445,From Charlestown To Limekiln Ave.,,,,
11,449,450,3181,33,7220,6122,  From Sandyford Business District To Wadelai Park,,,,
11,6122,35,36,7057,4847,4848,  From Wadelai Park To Sandyford Business District,,,,
13,7229,7230,4617,6234,323,322,From Grange Castle To Harristown,,,,
13,6235,327,6016,6125,7229,7230,  From Harristown To Grange Castle,,,,
14,6041,2826,2842,248,246,245,"  
From Dundrum Luas Station Towards Beaumont (Ardlea Rd.) ",,,,
14,248,249,250,2865,2866,6044,  From Beaumont (Ardlea Rd.) To Dundrum Luas Station,,,,
14C,6041,2826,2842,297,7582,7578,  From Beaumont / Dundrum To City Centre,Did not exist,,,
14C,248,249,250,675,4415,336,From City Centre To Beaumont / Dundrum,,,,
15,6282,6335,6326,7236,7245,6317,"  
From Ballycullen Rd. Towards Clongriffin ",,,,
15,6318,7246,6320,3007,6283,6282,  From Clongriffin To Ballycullen Rd.,,,,
15A,1105,1107,1108,7558,353,354,  From Limekiln Ave. To Grand Canal Dock (Benson St.),,,,
15A,395,397,398,1104,1103,1102,  From Grand Canal Dock (Benson St.) To Limekiln Ave.,,,,
15B,6285,6286,6287,354,353,7558,From Stocking Ave. To Grand Canal Dock (Benson St.),,,,
15B,395,397,398,6280,6279,6278,  From Grand Canal Dock (Benson St.) To Stocking Ave.,,,,
16,5171,2976,2977,1629,1630,7347,From Ballinteer (Kingston) Towards Dublin Airport,,,,
16,7347,3669,7349,5051,5052,2975,  From Dublin Airport To Ballinteer (Kingston),,,,
16C,5171,2976,2977,1359,320,278,  From Ballinteer or Airport To City Centre,Did not exist,,,
16C,7347,3669,7349,52,262,270,From City Centre To Ballinteer or Airport,,,,
17,3085,3082,3083,7053,2089,2088,  From Blackrock Rail Station To Rialto,,,,
17,2088,1381,1406,2086,2085,3085,From Rialto To Blackrock Rail Station,,,,
17A,956,957,958,7389,7025,7297,  From Kilbarrack To Blanchardstown Centre,,,,
17A,4747,2294,6039,7298,1012,1010,  From Blanchardstown Centre To Kilbarrack,,,,
18,385,2806,2807,2212,4357,7165,From Sandymount To Palmerstown,,,,
18,4359,4360,4361,375,7599,2801,  From Palmerstown To Sandymount,,,,
25,3890,3891,3949,3949,748,4530,From Lucan (Dodsboro) To Merrion Sq.,,,,
25,7391,493,494,3887,3888,3890,  From Merrion Sq. To Lucan (Dodsboro),,,,
25A,4620,7563,3368,4530,748,7390,  From Lucan (Esker Church) To Merrion Sq.,,,,
25A,7391,493,494,4616,7168,3370,  From Merrion Sq. To Lucan (Esker Church),,,,
25B,6290,7120,7119,4530,748,7390,"  
From Adamstown Rail Station Towards Merrion Sq. ",,,,
25B,7391,493,494,6289,7118,7117,From Merrion Sq. To Adamstown Rail Station,,,,
25D,6290,7120,7119,7390,748,4530,  From Adamstown Rail Station To Merrion Sq.,,,,
25D,7391,493,494,6289,7118,7117,From Merrion Sq. To Adamstown Rail Station,,,,
25X,3890,3891,3949,4953,4001,7187,From Lucan Towards UCD Belfield,,,,
25X,4953,768,769,3890,3888,3886,  From UCD Belfield To Lucan,,,,
26,2210,2211,2241,406,2810,7387,  From Palmerstown (Cemetery) To Merrion Sq,,,,
26,7391,493,494,2210,2203,2202,  From Merrion Sq. To Palmerstown (Cemetery) ,,,,
27,2353,4643,4644,6115,4593,4595,From Jobstown To Clare Hall,,,,
27,4595,4596,4563,4641,4642,2355,  From Clare Hall To Jobstown,,,,
27A,1791,1792,1793,619,675,620,  From Blunden Drive To Eden Quay,,,,
27A,300,496,497,1788,1789,7199,  From Eden Quay To Blunden Drive,,,,
29A,950,915,916,620,621,291,"  
From Baldoyle (Coast Rd.) Towards Lwr. Abbey St. ",Not Baldoyle was Newgrove Cross,,,
29A,289,496,515,925,927,938,From Lwr. Abbey St. To Baldoyle (Coast Rd.),,,,
31,567,568,569,675,620,7569,  From Howth Summit To Lwr. Abbey St.,,,,
31,621,289,496,564,565,566,  From Lwr. Abbey St. To Howth Summit,,,,
31A,686,688,689,7569,620,675,  From Shielmartin Rd. To Lwr. Abbey St.  ,Did not exist,,,
31A,621,289,496,684,685,686,  From Lwr. Abbey St. To Shielmartin Rd.  ,,,,
31B,707,708,731,675,620,7569,"  
From Howth Summit Towards Talbot St. ",,,,
31B,621,289,496,707,706,705,From Talbot St. Towards Howth Summit,,,,
31D,928,929,930,7571,1643,206,"  
From DCU Towards Baldoyle ",Did not exist,,,
31D,7571,1190,1191,913,912,911,"  
From Baldoyle Towards DCU ",,,,
32,3624,3587,3588,7569,620,675,"  
From Malahide Towards Talbot St. ",Was From Lwr. Abbey St. Towards Portmarnock ,,,
32,621,289,496,4387,3623,3622,From Talbot St. Towards Malahide,,,,
32X,4952,768,768,7616,5081,5082,From UCD Belfield Towards Malahide,,,,
32X,3640,3574,3641,762,763,4952,"  
From Malahide Towards UCD Belfield ",,,,
33,6048,5064,7173,52,277,292,  From Balbriggan To Lwr. Abbey St.,,,,
33,292,1171,1172,7174,3809,3808,  From Lwr. Abbey St. To Balbriggan,,,,
33A,6048,5064,7173,3751,3689,3692,"  
From Balbriggan Towards Swords ",,,,
33A,3677,3678,3679,3808,3809,7174,"  
From Balbriggan Towards Swords ",,,,
33B,3732,3732,3734,3743,3743,3690,From Portrane Towards Swords,,,,
33B,4330,3679,3711,3732,3730,3729,"  
From Swords Towards Portrane ",,,,
33D,3734,3735,3736,3743,748,748,"  
From Portrane Towards Custom House Quay / St. Stephens Green ",,,,
33D,407,2498,2499,3728,3726,3725,"  
From Custom House Quay / St. Stephens Green Towards Portrane ",,,,
33X,3815,3816,3566,403,747,748,"  
From Skerries Towards Custom House Quay / St. Stephen's Green ",,,,
33X,407,2498,2499,3808,3809,7174,"  
From Custom House Quay / St. Stephen's Green Towards Skerries ",,,,
37,4747,1882,7379,845,846,7340,"  
From Blanchardstown Centre Towards Baggot St. / Wilton Terrace ",,,,
37,783,784,784,4493,4493,2959,"  
From Baggot St. / Wilton Terrace Towards Blanchardstown Centre ",,,,
38,4745,4989,4990,753,7370,7339,"  
From Damastown Towards Burlington Rd. ",Used to go to Baggot St not Burlington Rd,,,
38,7339,783,784,4745,4744,4744,From Burlington Rd. Towards Damastown,,,,
38A,4745,4989,4990,753,7370,7339,From Damastown To Burlington Rd.,Used to go to Baggot St not Burlington Rd,,,
38A,7333,783,784,4745,4743,4743,From Burlington Rd. To Damastown,,,,
38D,4745,4989,4745,753,7370,7339,From Damastown To Burlington Rd.,Did not exist,,,
38D,7333,7333,784,1808,4744,784,From Burlington Rd. To Damastown,,,,
39,7158,7048,7159,753,7370,7339,From Ongar Towards Burlington Rd.,Used to go to Baggot St not Burlington Rd,,,
39,7333,783,784,7047,7161,7162,"  
From Burlington Rd. Towards Ongar ",,,,
39A,7158,7048,7159,762,763,767,"  
From Ongar Towards UCD Belfield ",,,,
39A,767,768,768,7047,7161,7162,"  
From UCD Belfield Towards Ongar ",,,,
40,4795,4688,4689,1548,1280,6348,"  
From Liffey Valley Shopping Centre Towards Charlestown Shopping Centre ",Used to be called Finglas not Charlestown SC,,,
40,7132,1558,2957,2957,4411,4715,"  
From Charlestown Shopping Centre Towards Liffey Valley Shopping Centre ",,,,
40B,4316,4317,7013,52,4725,6071,"  
From Toberburr Towards Parnell St. ",,,,
40B,7,11,14,4315,4315,4316,"  
From Parnell St. Towards Toberburr ",,,,
40D,7560,7073,7097,52,4725,6071,  From Tyrrelstown To Parnell St.,Did not exist,,,
40D,7,11,14,6005,7072,7559,  From Parnell St. To Tyrrelstown,,,,
41,4843,4905,4906,52,277,288,  From Swords Manor To Lwr. Abbey St.,,,,
41,288,1171,1172,4915,4957,3669,  From Lwr. Abbey St. To Swords Manor,,,,
41A,4843,4905,4906,288,277,52,From City Centre To Swords Manor,Did not exist,,,
41B,3881,7144,5096,52,277,288,"  
From Rolestown Towards Lwr. Abbey St. ",,,,
41B,288,1171,1172,7136,3867,3874,"  
From Lwr. Abbey St. Towards Rolestown ",,,,
41C,4843,4905,4906,52,277,288,"  
From Swords Manor Towards Lwr. Abbey St. ",,,,
41C,288,1171,1172,4914,4915,4957,"  
From Lwr. Abbey St. Towards Swords Manor ",,,,
41X,7654,7654,4905,6015,7114,7116,From Knocksedan Towards UCD Belfield,Used to be Swords not Knocksedan,,,
41X,4953,768,768,5031,6033,6312,From UCD Belfield Towards Knocksedan,,,,
42,3605,3606,3607,619,675,1184,From Sand's Hotel (Portmarnock) Towards Talbot St.,Used to go to Eden Quay not Talbot St,,,
42,1184,497,515,3616,3615,3613,"  
From Talbot St. Towards Sand's Hotel (Portmarnock) ",,,,
42D,943,3599,3600,7571,1646,114,"  
From DCU Towards Portmarnock ",Did not exist,,,
42D,7571,92,93,3597,3598,4465,"  
From Portmarnock Towards DCU ",,,,
43,5044,4433,3752,619,675,1184,"  
From Swords Business Park Towards Talbot St. ",Used to go to Eden Quay not Talbot St,,,
43,1184,497,515,3712,6359,7189,"  
From Talbot St. Towards Swords Business Park ",,,,
44,4096,4115,4119,210,210,7571,"  
From Enniskerry Towards DCU ",Used to go to Larkhill not DCU,,,
44,4096,4115,4119,210,1643,7571,"  
From DCU Towards Enniskerry ",,,,
44B,3514,3515,3516,2865,2866,2825,"  
From Glencullen Towards Dundrum Luas Station ",,,,
44B,2825,2826,2827,3510,3512,3514,"  
From Dundrum Luas Station Towards Glencullen ",,,,
45A,4533,4844,4177,4146,4148,4304,From Kilmacanogue Towards Dun Laoghaire (Rail Station),Usedd to go to  Ballywaltrim not Kilmacanogue,,,
45A,2037,2040,3047,3551,4137,4138,"  
From Dun Laoghaire (Rail Station) Towards Kilmacanogue ",,,,
46A,2039,2040,2041,805,805,807,From Dun Laoghaire Towards Phoenix Park,,,,
46A,807,808,809,2035,2036,2039,"  
From Phoenix Park Towards Dun Laoghaire ",,,,
46E,3085,3034,3114,2,4726,7555,"  
From Mountjoy Sq. Towards Blackrock Rail Station ",*No other direction,,,
47,5013,5014,7291,399,400,7564,"  
From Belarmine Towards Poolbeg St. ",Used to be Fleet St not Poolbeg St,,,
47,7564,340,350,7290,7290,5016,"  
From Poolbeg St. Towards Belarmine ",,,,
49,4342,4348,7122,1358,5192,5192,"  
From Tallaght (The Square) Towards Pearse Street ",,,,
49,342,4521,1934,7123,4347,7181,"  
From Pearse Street Towards Tallaght (The Square) ",,,,
51D,4664,2160,4665,753,754,755,"  
From Clondalkin Towards Aston Quay / Waterloo Rd. ",,,,
51D,7392,1443,1444,4551,1965,1966,"  
From Aston Quay / Waterloo Rd. Towards Clondalkin ",,,,
51X,7433,4677,2136,762,763,4953,"  
From Dunawley Towards UCD Belfield ",,,,
53,2270,7601,2508,619,675,4380,"  
From Dublin Ferryport Towards Talbot St. ",,,,
53,1184,496,497,2266,2270,2269,From Talbot St. Towards Dublin Ferryport,,,,
54A,5161,5162,2571,2003,1358,342,"  
From Ellensborough / Kiltipper Way Towards Pearse Street ",,,,
54A,342,1279,1934,5023,5024,5024,"  
From Pearse Street Towards Ellensborough / Kiltipper Way ",,,,
56A,4344,2349,2351,352,353,354,"  
From Tallaght (The Square) Towards Ringsend Rd. ",,,,
56A,395,396,397,2360,2360,4340,"  
From Ringsend Rd. Towards Tallaght (The Square) ",,,,
59,3099,3100,3101,3069,3070,4983,From Killiney Towards Dun Laoghaire,Used to be called Mackintosh Park not Killiney,,,
59,2037,3046,3047,3096,3097,3098,"  
From Dun Laoghaire Towards Killiney ",,,,
61,7067,2956,2965,495,400,303,"  
From Whitechurch Towards Eden Quay ",Used to go to D'Olier St not Eden Quay,,,
61,302,340,350,2955,2984,7067,"  
From Eden Quay Towards Whitechurch ",,,,
63,3283,3284,3285,2035,2036,2039,"  
From Kilternan Towards Dun Laoghaire ",,,,
63,2039,2040,2041,3280,3282,2041,"  
From Dun Laoghaire Towards Kilternan ",,,,
65,7208,5111,7249,1357,1358,7564,From Blessington / Ballymore Towards Poolbeg St.,,,,
65,7564,4521,1283,7263,7264,7395,"  
From Poolbeg St. Towards Blessington / Ballymore ",,,,
65B,4713,4714,4960,1357,1358,7564,"  
From Citywest Towards Poolbeg St. ",*No other direction,,,
66,3980,6089,3981,406,2810,7387,"From Maynooth Towards Merrion Sq
",,,,
66,7391,493,494,5113,3918,5114,"  
From Merrion Sq. Towards Maynooth ",,,,
66A,3994,3995,3996,406,2810,7387,"  
From Leixlip (Captain's Hill) Towards Merrion Sq. ",,,,
66A,7391,493,494,3957,3993,3994,"  
From Merrion Sq. Towards Leixlip (Captain's Hill) ",,,,
66B,4003,4404,4405,406,2810,7387,"  
From Leixlip (Castletown) Towards Merrion Sq.
 ",Did not exist,,,
66B,7391,493,494,4002,5112,4003,"  
From Merrion Sq. Towards Leixlip (Castletown) ",,,,
66X,3980,6089,3981,6161,6164,7313,"  
From Maynooth Towards UCD Belfield ",,,,
66X,4952,768,769,4003,7234,7314,"  
From UCD Belfield Towards Maynooth ",,,,
67,3917,3918,3926,7385,2810,406,From Maynooth To Merrion Sq.,,,,
67,7391,493,494,3008,3008,6089,From Merrion Sq. To Maynooth,,,,
67X,3921,3922,3923,3929,7110,7565,From Celbridge (Salesian College) Towards UCD Belfield,,,,
67X,4952,768,769,3907,3909,5118,From UCD Belfield Towards Celbridge (Salesian College),,,,
68,6185,6186,6216,4495,1358,1357,From Newcastle / Greenogue Business Park Towards Burgh Quay,,,,
68,4495,1278,1282,6188,6215,6184,From Burgh Quay Towards Newcastle / Greenogue Business Park,Burgh Quay used  to Hawkins Street,,,
68A,1375,1376,1377,1357,1358,4495,From Bulfin Rd. Towards Burgh Quay,Did not exist,,,
68A,4495,1278,1282,1373,1374,1375,From Burgh Quay Towards Bulfin Rd.,,,,
68X,6185,6186,6216,4495,1358,2002,From Newcastle / Greenogue Business Park To Hawkins St.,*No other direction,,,
69,4564,3443,3444,2912,1358,4495,From Rathcoole Towards Hawkins St.,,,,
69,4495,4720,1443,3441,4560,5126,From Hawkins St. Towards Rathcoole,,,,
69X,4564,3444,3447,1480,1358,4495,From Rathcoole Towards Hawkins St.,,,,
69X,4495,4720,1443,5126,4560,3441,"
From Hawkins St. Towards Rathcoole",,,,
70,3333,3334,3352,753,7370,7339,From Dunboyne Towards Burlington Rd.,Burlington Rd used to be Baggot St,,,
70,7333,783,784,3333,3332,3351,From Burlington Rd. To Dunboyne,,,,
70D,3333,3334,3352,7571,1510,7027,From DCU Towards Dunboyne,Did not exist,,,
70D,7571,1644,1605,1665,3333,3332,From Dunboyne Towards DCU,,,,
75,2039,2039,2041,7181,4347,4640,From Dun Laoghaire Towards Tallaght (The Square),,,,
75,4342,4348,4646,2034,2035,2036,From Tallaght (The Square) Towards Dun Laoghaire,,,,
76,4341,4348,4646,4414,5009,2199,From Tallaght (The Square) Towards Chapelizod,,,,
76,2243,2200,5006,4341,4347,4640,From Chapelizod Towards Tallaght (The Square),,,,
76A,4341,4348,4646,7026,1814,1813,From Tallaght (The Square) Towards Blanchardstown Centre,,,,
76A,7026,4747,2960,4640,4347,4241,From Blanchardstown Centre Towards Tallaght (The Square),,,,
77A,4713,4714,4960,352,353,354,From Citywest Towards Ringsend Rd.,,,,
77A,395,396,397,7459,4931,4930,From Ringsend Rd. Towards Citywest,,,,
77X,4713,4714,4960,762,763,4952,From Citywest To UCD Belfield,Citywest used to be Tallaght,,,
79,2670,2910,2911,2912,1358,326,From Spiddal Park Towards Aston Quay,,,,
79,326,1443,1444,2906,2907,2908,From Aston Quay Towards Spiddal Park,,,,
79A,6030,6028,6025,2912,1358,326,From Parkwest Towards Aston Quay,,,,
79A,326,1443,1444,6029,6027,6026,From Aston Quay Towards Parkwest,,,,
83,2492,2493,2465,1552,332,7430,From Kimmage Towards Harristown,,,,
83,324,1555,1556,2492,7132,7431,From Harristown Towards Kimmage,,,,
83A,2492,2493,2465,1551,1552,332,From Kimmage Towards Harristown,,,,
83A,324,1555,1555,7132,2492,2491,From Harristown Towards Kimmage,,,,
84,4260,4261,7271,3080,3081,7188,From Newcastle Towards Blackrock,,,,
84,7188,3082,3114,7660,4956,7272,From Blackrock Towards Newcastle,,,,
84A,4168,4170,4153,3084,4705,5047,From Bray Towards Blackrock,84A is the segment of 84 that is from Bray to Blackrock on full journey from Newcastle to Blackrock,,,
84A,7188,3082,3114,7294,4156,4168,From Blackrock Towards Bray,,,,
84X,4260,4307,4308,7587,317,906,From Newcastle/Kilcoole Towards Hawkins St.,Hawkins St used to be Trinity College,,,
84X,746,844,846,6137,4956,4956,From Hawkins St. Towards Newcastle/Kilcoole,,,,
102,7348,3669,3671,952,953,4381,From Dublin Airport Towards Sutton Station,,,,
102,4381,935,935,935,3663,3663,From Sutton Station Towards Dublin Airport,,,,
104,7571,1644,1605,1747,1748,1749,From DCU Towards Clontarf Rd. (Conquer Hill),DCU used to be Santry,,,
104,1730,1731,1732,7571,1646,114,From Clontarf Rd. (Conquer Hill) Towards DCU,,,,
111,3057,3058,3059,6082,6082,5046,From Dalkey Towards Brides Glen (Luas Station),"Brides Glen Luas not open, used to stop at Loughlinstown",,,
111,7639,7640,5047,3057,3056,3055,From Brides Glen (Luas Station) Towards Dalkey,,,,
114,3085,3082,3165,6197,6197,6197,From Blackrock Rail Station Towards Ticknock,,,,
114,6200,6201,6196,3085,3200,3200,From Ticknock Towards Blackrock Rail Station,,,,
116,2955,7067,2956,281,281,345,From Whitechurch Towards Parnell Sq.,Used to be Burlington Hotel not Parnell St,,,
116,848,2795,756,2955,2954,2981,"  
From Parnell Sq. Towards Whitechurch ",,,,
118,3283,3284,3481,334,345,7587,From D'Olier St. Towards Kilternan,*No other direction,,,
120,284,4504,7028,413,414,415,"  
From Ashtown Rail Station Towards Parnell St. ",,,,
120,6004,3,192,493,494,495,From Parnell St. Towards Ashtown Rail Station,,,,
122,1423,1424,1425,4523,4524,4322,From Drimnagh Rd. Towards Ashington,,,,
122,4525,4526,1700,5149,1419,6094,"  
From Ashington Towards Drimnagh Rd",,,,
123,1491,1492,1493,7153,7154,6056,"  
From Marino Towards Walkinstown (Kilnamanagh Rd.) ",,,,
123,6057,2183,2184,1488,1489,1490,"  
From Walkinstown (Kilnamanagh Rd.) Towards Marino ",,,,
130,1772,1773,1774,620,621,293,"  
From Castle Ave. Towards Lwr. Abbey St. ",,,,
130,7591,496,515,1764,1765,1767,From Lwr. Abbey St. Towards Castle Ave.,,,,
140,896,897,893,6362,7276,7149,  From Palmerston Park To Finglas (IKEA),,,,
140,7149,7277,7277,1023,1024,1024,  From Finglas (IKEA) To Palmerston Park,,,,
142,877,877,877,3616,3615,3615,"  
From UCD Belfield Towards Portmarnock ",Used to be Rathmines not UCD,,,
142,3605,3606,3607,2819,3012,877,"  
From Portmarnock Towards UCD Belfield ",,,,
145,7574,4177,4178,1445,4407,4320,"  
From Ballywaltrim Towards Heuston Rail Station ",Used to be Kilmacanogue not Ballywaltrim,,,
145,4320,1476,7453,5092,7574,6000,"  
From Heuston Rail Station Towards Ballywaltrim ",,,,
150,4863,4864,4865,2003,1358,4495,"  
From Rossmore Towards Hawkins St. ",Used to be Fleet St not Hawkins St,,,
150,4495,1279,1934,6132,4861,4862,From Hawkins St. Towards Rossmore,,,,
151,4606,7142,7015,2278,2508,7623,From Foxborough (Balgaddy Rd.) Towards Docklands (East Rd.),,,,
151,7514,2279,6251,4619,7016,4554,"  
From Docklands (East Rd.) Towards Foxborough (Balgaddy Rd.) ",,,,
161,2934,2935,2936,2936,2868,1055,"  
From Rockbrook/Tibradden Towards Dundrum Luas Station ",,,,
161,1055,2867,1035,2933,7441,2930,"  
From Dundrum Luas Station Towards Rockbrook/Tibradden ",,,,
184,4657,7279,4658,4151,4168,4168,"  
From Newtownmountkennedy Towards Bray Rail Station ",,,,
184,4168,4168,4132,4132,4132,4655,"  
From Bray Rail Station Towards Newtownmountkennedy ",,,,
185,4108,4109,4109,4421,4420,4419,"  
From Shop River (Enniskerry) Towards Bray Rail Station ",,,,
185,4167,4170,4153,4153,4421,4420,"  
From Bray Rail Station Towards Shop River (Enniskerry) ",,,,
220,1828,1829,1830,7298,4686,124,"  
From Lady's Well Rd. Towards Ballymun (Shangan Rd.) ",,,,
220,4686,4687,102,1826,1827,7297,From Ballymun (Shangan Rd.) Towards Lady's Well Rd.,,,,
236,4745,4989,4990,661,7026,5072,"  
From Blanchardstown Centre Towards Damastown ",Used to be Ballycoolin not Damatown,,,
236,4747,2960,1545,1545,4744,4744,"  
From Damastown Towards Blanchardstown Centre ",,,,
238,1828,1829,1830,6005,1546,7072,From Lady's Well Rd. Towards Tyrrelstown,,,,
238,7073,7097,7098,7098,1826,1827,"  
From Tyrrelstown Towards Lady's Well Rd. ",,,,
239,4715,4688,4689,4493,4362,7026,"  
From Liffey Valley Shopping Centre Towards Blanchardstown Centre ",,,,
239,7026,1882,7379,4715,4411,4690,"  
From Blanchardstown Centre Towards Liffey Valley Shopping Centre ",,,,
270,3333,3334,3352,4767,4768,7026,"  
From Dunboyne Towards Blanchardstown Centre ",,,,
270,7026,4323,4324,3333,3332,3351,"  
From Blanchardstown Centre Towards Dunboyne ",,,,
747,3665,7400,3669,1937,1445,4319,"  
From Dublin Airport Towards Heuston Rail Station ",,,,
747,4319,1476,7453,3665,7401,7623,"  
From Heuston Rail Station Towards Dublin Airport ",,,,
757,3665,7400,3669,1015,1074,4494,"  
From Dublin Airport Towards Camden Street (Charlotte Way) ",,,,
757,1074,`6074 ,748,3665,7401,7623,"  
From Camden Street (Charlotte Way) Towards Dublin Airport ",,,,
