Stop,Latitude,Longitude
Saggart,53.284679,-6.437763
Fortunestown,53.284251,-6.424602
Citywest Campus,53.287833,-6.418915
Cheeverstown,53.290982,-6.406849
Fettercairn,53.293519,-6.395554
Tallaght,53.287494,-6.374589
Hospital,53.289369,-6.37885
Cookstown,53.293506,-6.384397
Belgard,53.299286,-6.374886
Kingswood,53.303694,-6.36525
Red Cow,53.316833,-6.369872
Kylemore,53.326656,-6.343444
Bluebell,53.329297,-6.333792
Blackhorse,53.334258,-6.327394
Drimnagh,53.335361,-6.318161
Goldenbridge,53.335892,-6.313569
Suir Road,53.336617,-6.307211
Rialto,53.337908,-6.297242
Fatima,53.338439,-6.292547
James's,53.341942,-6.293361
Heuston,53.346647,-6.291808
Museum,53.347867,-6.286714
Smithfield,53.347133,-6.277728
Four Courts,53.346864,-6.273436
Jervis,53.347686,-6.265333
Abbey Street,53.348589,-6.258172
Busàras,53.350075,-6.25145
Connolly,53.350922,-6.249942
George's Dock,53.349528,-6.247575
Mayor Square - NCI,53.349247,-6.243394
Spencer Dock,53.348822,-6.237147
The Point,53.34835,-6.229258
St. Stephen's Green,53.339072,-6.261333
Harcourt,53.333358,-6.26265
Charlemont,53.330669,-6.258683
Ranelagh,53.326433,-6.256203
Beechwood,53.320822,-6.254653
Cowper,53.316467,-6.253447
Milltown,53.309917,-6.251728
Windy Arbour,53.301558,-6.250708
Dundrum,53.292358,-6.245117
Balally,53.286106,-6.236772
Kilmacud,53.283008,-6.223886
Stillorgan,53.279311,-6.209919
Sandyford,53.277603,-6.204678
Central Park,53.27015,-6.203764
Glencairn,53.266336,-6.209942
The Gallops,53.261164,-6.206022
Leopardstown Valley,53.258247,-6.198361
Ballyogan Wood,53.255047,-6.184475
Racecourse (passive stop),53.255367,-6.175161
Carrickmines,53.254033,-6.169908
Brennanstown (passive stop),53.252619,-6.161597
Laughanstown,53.250606,-6.155006
Cherrywood,53.245333,-6.145853
Brides Glen,53.242075,-6.142886